Date,Item Code,Item Desc,Category,Quantity,Total
4/1/17,178,G. CAPRESSE,Pizzas,5,775
4/1/17,179,G. CRUDO Y RUCU,Pizzas,5,850
4/1/17,171,G. FUGAZZETA,Pizzas,3,450
4/1/17,175,G. JAMON,Pizzas,6,960
4/1/17,180,G. JAMON Y MORR,Pizzas,15,2700
4/1/17,177,G. MORRONES,Pizzas,1,160
4/1/17,170,G. MUZZA,Pizzas,16,2160
4/1/17,172,G. NAPOLITANA,Pizzas,8,1240
4/1/17,176,G. PROVOLONE,Pizzas,6,990
4/1/17,174,G. ROQUEFORT,Pizzas,4,640
4/1/17,236,HAMB ALEMANA,Hamburgers,13,1560
4/1/17,231,HAMB ARGENTA,Hamburgers,9,1080
4/1/17,238,HAMB BRASILERA,Hamburgers,14,1680
4/1/17,241,HAMB CALABAZA,Hamburgers,14,1540
4/1/17,239,HAMB CHARRUA,Hamburgers,9,1080
4/1/17,230,HAMB COSSAB,Hamburgers,21,2520
4/1/17,235,HAMB FRANCESA,Hamburgers,26,3120
4/1/17,237,HAMB KANGREBURG,Hamburgers,54,6480
4/1/17,243,HAMB LENTEJAS,Hamburgers,19,2090
4/1/17,234,HAMB MEXICANA,Hamburgers,30,3600
4/1/17,233,HAMB NORMANDA,Hamburgers,10,1200
4/1/17,240,HAMB NORTEAMERI,Hamburgers,71,8520
4/1/17,244,HAMB QUINOA,Hamburgers,31,3410
4/1/17,242,HAMB SUIZA,Hamburgers,47,5640
4/1/17,232,HAMB VIKINGA,Hamburgers,69,8280
4/1/17,46,NACHOS,Apetizers,30,2550
4/1/17,24,PAPAS 4 QUESOS,Fries,67,6030
4/1/17,26,PAPAS BARBACOA,Fries,11,990
4/1/17,28,PAPAS CHEDDAR,Fries,131,11790
4/1/17,22,PAPAS FRITAS,Fries,36,2520
4/1/17,25,PAPAS RUSTICAS,Fries,59,5310
4/1/17,190,POLLO BELGA,Sandwichs,12,1560
4/1/17,187,POLLO COSSAB,Sandwichs,13,1690
4/1/17,159,QUESOS X 1,Tapas,8,1080
4/1/17,160,QUESOS X 2,Tapas,4,1000
4/1/17,54,RABAS,Apetizers,22,4180
4/1/17,56,RABAS C/SALSAS,Apetizers,2,430
4/1/17,55,RABAS PROV,Apetizers,8,1600
4/1/17,40,SALCH ALEMANA,Sausages,18,2430
4/1/17,42,SALCH DIABLO,Sausages,11,1595
4/1/17,27,SALCHIPAPAS BEL,Fries,88,11000
4/1/17,191,SANWUCHE BERNA,Sandwichs,9,990
4/1/17,60,SUPER MILANESA,Entries,7,875
4/1/17,61,SUPREMA FUGAZE,Entries,2,550
4/1/17,45,TABLA BRATWURST,Sausages,5,1800
4/1/17,82,TAPEO X2,Tapas,193,48250
4/1/17,57,TIRITAS POLL,Apetizers,38,3800
4/1/17,62,TORTILLA,Entries,7,700
4/1/17,63,TORTILLA ESP,Entries,16,1840
5/1/17,150,BAVIERA X 1,Tapas,6,840
5/1/17,151,BAVIERA X 2,Tapas,9,2340
5/1/17,59,BRUSQUETA HONG,Apetizers,5,500
5/1/17,58,BRUSQUETAS CRUD,Apetizers,8,680
5/1/17,78,C. CAPRESSE,Pizzas,1,95
5/1/17,79,C. CRUDO RUCULA,Pizzas,5,525
5/1/17,71,C. FUGAZZETA,Pizzas,1,90
5/1/17,75,C. JAMON,Pizzas,3,285
5/1/17,80,C. JAMON Y MORR,Pizzas,1,100
5/1/17,77,C. MORRONES,Pizzas,1,95
5/1/17,70,C. MUZZA,Pizzas,5,400
5/1/17,72,C. NAPOLITANA,Pizzas,1,95
5/1/17,76,C. PROVOLONE,Pizzas,2,200
5/1/17,74,C. ROQUEFORT,Pizzas,2,180
5/1/17,49,CHOCOTORTA,Desserts,5,375
5/1/17,50,COPA MELBA,Desserts,32,2400
5/1/17,152,COSSAB X 1,Tapas,28,4060
5/1/17,153,COSSAB X 2,Tapas,37,9990
5/1/17,226,CUAD. DE MUZZA,Apetizers,35,3500
5/1/17,188,CUADRIL COSSAB,Sandwichs,3,435
5/1/17,189,CUDRIL VIKINGO,Sandwichs,5,725
5/1/17,23,ESPAÑOLAS PICAN,Fries,21,1785
5/1/17,173,G. CALABRESA,Pizzas,5,850
5/1/17,178,G. CAPRESSE,Pizzas,4,660
5/1/17,179,G. CRUDO Y RUCU,Pizzas,9,1620
5/1/17,171,G. FUGAZZETA,Pizzas,1,160
5/1/17,175,G. JAMON,Pizzas,2,340
5/1/17,180,G. JAMON Y MORR,Pizzas,12,2280
5/1/17,177,G. MORRONES,Pizzas,2,340
5/1/17,170,G. MUZZA,Pizzas,19,2755
5/1/17,172,G. NAPOLITANA,Pizzas,2,330
5/1/17,176,G. PROVOLONE,Pizzas,1,175
5/1/17,174,G. ROQUEFORT,Pizzas,5,850
5/1/17,236,HAMB ALEMANA,Hamburgers,16,2000
5/1/17,231,HAMB ARGENTA,Hamburgers,15,1875
5/1/17,238,HAMB BRASILERA,Hamburgers,18,2250
5/1/17,241,HAMB CALABAZA,Hamburgers,7,805
5/1/17,239,HAMB CHARRUA,Hamburgers,6,750
5/1/17,230,HAMB COSSAB,Hamburgers,24,3000
5/1/17,235,HAMB FRANCESA,Hamburgers,23,2875
5/1/17,237,HAMB KANGREBURG,Hamburgers,53,6625
5/1/17,243,HAMB LENTEJAS,Hamburgers,10,1150
5/1/17,234,HAMB MEXICANA,Hamburgers,21,2625
5/1/17,233,HAMB NORMANDA,Hamburgers,21,2625
5/1/17,240,HAMB NORTEAMERI,Hamburgers,64,8000
5/1/17,244,HAMB QUINOA,Hamburgers,13,1495
5/1/17,242,HAMB SUIZA,Hamburgers,33,4125
5/1/17,232,HAMB VIKINGA,Hamburgers,46,5750
5/1/17,34,MILA DE BERENJE,Entries,6,780
5/1/17,46,NACHOS,Apetizers,20,1700
5/1/17,32,PANCHO ALEMAN,Sausages,4,500
5/1/17,31,PANCHO PORTENO,Sausages,3,330
5/1/17,33,PANCHO YANKI,Sausages,2,270
5/1/17,24,PAPAS 4 QUESOS,Fries,71,6745
5/1/17,26,PAPAS BARBACOA,Fries,18,1710
5/1/17,28,PAPAS CHEDDAR,Fries,103,9785
5/1/17,22,PAPAS FRITAS,Fries,46,3220
