Date,Item Code,Item Desc,Category,Quantity,Total
2/1/15,234,HAMB MEXICANA,Hamburgers,19,1875
2/1/15,235,HAMB FRANCESA,Hamburgers,33,3360
2/1/15,236,HAMB ALEMANA,Hamburgers,18,1827
2/1/15,237,HAMB KANGREBURG,Hamburgers,44,4660
2/1/15,238,HAMB BRASILERA,Hamburgers,19,1829
2/1/15,239,HAMB CHARRUA,Hamburgers,11,1153
2/1/15,240,HAMB NORTEAMERI,Hamburgers,69,7090
2/1/15,241,HAMB CALABAZA,Hamburgers,10,1325
2/1/15,242,HAMB SUIZA,Hamburgers,47,4909
2/1/15,243,HAMB LENTEJAS,Hamburgers,10,1009
2/1/15,244,HAMB QUINOA,Hamburgers,31,2888
3/1/15,22,PAPAS FRITAS,Fries,45,3070
3/1/15,23,ESPAÑOLAS PICAN,Fries,18,1267
3/1/15,24,PAPAS 4 QUESOS,Fries,62,4621
3/1/15,25,PAPAS RUSTICAS,Fries,49,3737
3/1/15,26,PAPAS BARBACOA,Fries,15,1245
3/1/15,27,SALCHIPAPAS BEL,Fries,58,6116
3/1/15,28,PAPAS CHEDDAR,Fries,110,9101
3/1/15,29,ADICIONAL PANCE,Fries,6,554
3/1/15,31,PANCHO PORTENO,Sausages,8,926
3/1/15,32,PANCHO ALEMAN,Sausages,14,1531
3/1/15,33,PANCHO YANKI,Sausages,14,1470
3/1/15,34,MILA DE BERENJE,Entries,13,1647
3/1/15,40,SALCH ALEMANA,Sausages,22,2615
3/1/15,42,SALCH DIABLO,Sausages,11,1514
3/1/15,45,TABLA BRATWURST,Sausages,8,3532
3/1/15,46,NACHOS,Apetizers,24,1910
3/1/15,49,CHOCOTORTA,Desserts,5,410
3/1/15,50,COPA MELBA,Desserts,10,510
3/1/15,54,RABAS,Apetizers,21,3577
3/1/15,55,RABAS PROV,Apetizers,11,2321
3/1/15,56,RABAS C/SALSAS,Apetizers,2,310
3/1/15,57,TIRITAS POLL,Apetizers,33,3313
3/1/15,58,BRUSQUETAS CRUD,Apetizers,8,872
3/1/15,59,BRUSQUETA HONG,Apetizers,6,530
3/1/15,60,SUPER MILANESA,Entries,8,1740
3/1/15,61,SUPREMA FUGAZE,Entries,4,2410
3/1/15,62,TORTILLA,Entries,9,1495
3/1/15,63,TORTILLA ESP,Entries,16,1707
3/1/15,64,WRAP VEGETA,Sandwichs,5,509
3/1/15,65,WRAP POLLO,Sandwichs,24,2961
3/1/15,66,WRAP CARNE,Sandwichs,10,1372
3/1/15,70,C. MUZZA,Pizzas,7,483
3/1/15,71,C. FUGAZZETA,Pizzas,2,125
3/1/15,72,C. NAPOLITANA,Pizzas,2,158
3/1/15,73,C. CALABRESA,Pizzas,2,210
3/1/15,74,C. ROQUEFORT,Pizzas,1,72
3/1/15,75,C. JAMON,Pizzas,1,63
3/1/15,76,C. PROVOLONE,Pizzas,2,184
3/1/15,77,C. MORRONES,Pizzas,1,86
3/1/15,78,C. CAPRESSE,Pizzas,2,180
3/1/15,79,C. CRUDO RUCULA,Pizzas,2,200
3/1/15,80,C. JAMON Y MORR,Pizzas,2,151
3/1/15,82,TAPEO X2,Tapas,165,35879
3/1/15,90,BONDIOLA NEGRA,Entries,15,2464
3/1/15,150,BAVIERA X 1,Tapas,10,1401
3/1/15,151,BAVIERA X 2,Tapas,7,1559
