"Date","Item Code","Item Desc","Category","Quantity","Total"
"42795.0","174","G. ROQUEFORT","Pizzas","3.0","480.0"
"42795.0","236","HAMB ALEMANA","Hamburgers","16.0","1915.0"
"42795.0","231","HAMB ARGENTA","Hamburgers","9.0","1070.0"
"42795.0","238","HAMB BRASILERA","Hamburgers","9.0","1070.0"
"42795.0","241","HAMB CALABAZA","Hamburgers","13.0","1400.0"
"42795.0","239","HAMB CHARRUA","Hamburgers","12.0","1435.0"
"42795.0","230","HAMB COSSAB","Hamburgers","27.0","3230.0"
"42795.0","235","HAMB FRANCESA","Hamburgers","30.0","3600.0"
"42795.0","237","HAMB KANGREBURG","Hamburgers","43.0","5155.0"
"42795.0","243","HAMB LENTEJAS","Hamburgers","9.0","990.0"
"42795.0","234","HAMB MEXICANA","Hamburgers","15.0","1795.0"
"42795.0","233","HAMB NORMANDA","Hamburgers","15.0","1795.0"
"42795.0","240","HAMB NORTEAMERI","Hamburgers","65.0","7790.0"
"42795.0","244","HAMB QUINOA","Hamburgers","32.0","3520.0"
"42795.0","242","HAMB SUIZA","Hamburgers","37.0","4440.0"
"42795.0","232","HAMB VIKINGA","Hamburgers","48.0","5750.0"
"42795.0","46","NACHOS","Apetizers","31.0","2635.0"
"42795.0","24","PAPAS 4 QUESOS","Fries","72.0","6480.0"
"42795.0","26","PAPAS BARBACOA","Fries","17.0","1530.0"
"42795.0","28","PAPAS CHEDDAR","Fries","127.0","11430.0"
"42795.0","22","PAPAS FRITAS","Fries","43.0","3010.0"
"42795.0","25","PAPAS RUSTICAS","Fries","67.0","6030.0"
"42795.0","190","POLLO BELGA","Sandwichs","10.0","1300.0"
"42795.0","187","POLLO COSSAB","Sandwichs","16.0","2080.0"
"42795.0","159","QUESOS X 1","Tapas","20.0","2700.0"
"42795.0","160","QUESOS X 2","Tapas","6.0","1500.0"
"42795.0","54","RABAS","Apetizers","15.0","2850.0"
"42795.0","56","RABAS C/SALSAS","Apetizers","1.0","215.0"
"42795.0","55","RABAS PROV","Apetizers","6.0","1200.0"
"42795.0","40","SALCH ALEMANA","Sausages","31.0","4185.0"
"42795.0","42","SALCH DIABLO","Sausages","10.0","1450.0"
"42795.0","27","SALCHIPAPAS BEL","Fries","82.0","10250.0"
"42795.0","191","SANWUCHE BERNA","Sandwichs","21.0","2310.0"
"42795.0","60","SUPER MILANESA","Entries","9.0","1125.0"
"42795.0","61","SUPREMA FUGAZE","Entries","3.0","825.0"
"42795.0","45","TABLA BRATWURST","Sausages","10.0","3600.0"
"42795.0","82","TAPEO X2","Tapas","198.0","49500.0"
"42795.0","57","TIRITAS POLL","Apetizers","32.0","3200.0"
